Key,Id,English(en),Russian(ru)
"Red 1.1.1",96960955703296,"*sigh*<pause:1> Another day, another dollar.","*вздох*<pause:1> Новый день - новая копейка."
"Red 1.2.1",102732733243392,"Damn,<pause:0.5> this kiddo seems tough,<pause:0.5> he needs at least two icecreams.","Блин,<pause:0.5> этот мелкий выглядит крепким,<pause:0.5> ему понадобится хотя бы две мороженки."
"Red 1.2.2",102851926974464,"Big boy, huh?<pause:0.75> The bigger they are, the harder they fall.","Большой мальчик, да?<pause:0.75> Чем больше шкаф, тем громче падает."
"Red 1.3.1",102931308371968,"Stupid old junk.","Старая рухлядь."
"Red 1.3.2",103157167448064,"Have to clean up the mess.","Нужно вычистить беспорядок."
"Red 1.3.3",103200687546368,"Where is the garbage can?","Где же мусорка?"
"Red 1.3.4",103255913947136,"Oh,<pause:0.5> there you are.","О,<pause:0.5> вот ты где."
"Red 1.3.5",103266819137536,"Shoo,<pause:0.5> small stinkers.","Кыш,<pause:0.5> вонючки."
"Red 1.4.1",103795813146624,"Oh,<pause:0.5> wow.<pause:0.5> The first complex order for today.","Oго.<pause:0.5> Первое комплексное блюдо за сегодня."
"Red 1.4.2",103882635239424,"Still too easy though.","Но все равно это слишком просто."
"Red 1.4.3",103985789952000,"Need to mix the ingredients.","Нужно смешать ингредиенты."
"Red 1.4.4",104019986112512,"*sigh*<pause:1> I wonder what it's like to cook real dishes?","*вздох*<pause:1> Интересно, каково это готовить настоящие блюда?"
"Red 1.5.1",104142648532992,"Oh,<pause:0.5> the real game begins.","О, <pause:0.5> настоящая игра начинается."
"Red 1.5.2",104186449649664,"It's easy.<pause:0.5> This thing spawns items,<pause:0.5> I use them.","Это легко.<pause:0.5> Эта штука подкидывает продукты,<pause:0.5> я использую их."
"Red 1.5.3",104222092845056,"The main thing is to keep it from clogging up.","Главное - не давать ей засориться."
"Red 1.6.1",104300811542528,"*sigh*<pause:1> Everyday in the same time.","*вздох*<pause:1> Каждый день в одно и тоже время."
"Bear 1.6.2",104452712456192,"Oh,<pause: 0.5> it's you again, Red <pause:0.5>NOT<pause:0.5> a Cook.","O,<pause: 0.5> Это снова ты, Рыжий <pause:0.5>НЕ<pause:0.5> повар."
"Red 1.6.3",104546270601216,"Yarrr,<pause: 0.5> welcome aboard, young sailor.","Яррр,<pause: 0.5> добро пожаловать на борт, юнга."
"Bear 1.6.4",104596988125184,"I don't need your greetings, Red <pause:0.5>NOT<pause:0.5> a Cook.","Мне не нужны приветствия, Рыжий <pause:0.5>НЕ<pause:0.5> повар."
"Bear 1.6.5",104702047051776,"I need you to work faster, not louder.","Мне нужно, чтобы работал быстрее, а не громче."
"Red 1.6.6",104734192197632,"Do you know that this is a restaurant for kids?","Ты же знаешь, что это детское заведение?"
"Bear 1.6.7",104799568814080,"Pfft.<pause:0.5> This place is full of pirates.","Пффт.<pause:0.5> Это место полно пиратов."
"Bear 1.6.8",104851519463424,"Pirates are too scary for them,<pause:0.5> so <pause:0.5>YEAH,<pause:0.5> it's clearly for adults.","Пираты слишком страшны для них,<pause:0.5> так что, <pause:0.5>ДА,<pause:0.5> очевидно, что оно для взрослых."
"Red 1.6.9",104919387496448,"At least you are not too old for this.","Ну ты хотя бы не слишком стар для всего этого."
"Bear 1.6.10",105019983683584,"I'm at the perfect age for this place, so, <pause:0.5>YEAH.","Я в идеальном возрасте для этого места, так что, <pause:0.5>ДА."
"Bear 1.6.11",105266793308160,"And I need some calories to be in the perfect shape.<pause:0.5> So, hurry up, Red <pause:0.5>NOT<pause:0.5> a Cook.","И мне нужны калории, чтобы быть в идеальной форме.<pause:0.5> Так что поторапливайся, Рыжий <pause:0.5>НЕ<pause:0.5> повар."
"Bear 1.7.1",105471504703488,"Pfft.<pause: 0.5> If you've done it doesn't meen you've done it well,<pause: 0.5> Red <pause:0.5>NOT<pause:0.5> a cook.","Пффт.<pause: 0.5> то что ты это сделал не значит, что ты сделал это хорошо,<pause: 0.5> Рыжий <pause:0.5>НЕ<pause:0.5> повар."
"Red 1.7.2",105543625760768,"Yarrr,<pause: 0.5> we hope to see you again soon, young sailor.","Яррр,<pause: 0.5> возвращайся еще, юнга."
"Bear 1.7.3",105608289345536,"Oh, <pause:0.5>YEAH, <pause:0.5>do<pause: 0.5> NOT<pause: 0.5> hesitate.<pause:1> You will see me soon.","Ох, <pause:0.5>ДА, <pause:0.5>не сомневайся.<pause:1> Я вернусь."
"Bear 1.7.4",105693555351552,"And I won't be so easy on you next time.","И я не буду так мягок с тобой в следующий раз."
"Bear 1.7.5",105789357449216,"See you later, Red <pause:0.5>NOT<pause:0.5> a cook.","Еще увидимся, Рыжий <pause:0.5>НЕ<pause:0.5> повар."
"Red 1.7.6",107592824283136,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Finally.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Наконец-то."
"Red 1.7.7",107662542004224,"Whoa,<pause:0.5> break time already.","Воу,<pause:0.5> уже перерыв."
"Wave Is Failed Line",131328193486848,"Damn...<pause:1> Ok, let's try again.","Блин...<pause:1> Ладно, попробуем еще разок."
